name,              size,  background, count, url
punks,          24x24,  ,  10000,  https://github.com/cryptopunksnotdead/awesome-24px/raw/master/collection/punks.png
morepunks,      24x24,  ,  1000,   https://github.com/cryptopunksnotdead/awesome-24px/raw/master/collection/morepunks.png
readymadepunks, 24x24,  ,  ,       https://github.com/cryptopunksnotdead/punks.readymade/raw/master/readymades.png
bwpunks,        24x24, true, ,     https://github.com/pixelartexchange/collections/raw/master/bwpunks-24x24.png
frontpunks,     24x24,  ,  ,       https://github.com/cryptopunksnotdead/awesome-24px/raw/master/collection/frontpunks.png
intlpunks,      24x24,  ,  ,       https://github.com/cryptopunksnotdead/awesome-24px/raw/master/collection/intlpunks.png
punkforce,      24x24, true, ,     https://github.com/pixelartexchange/collections/raw/master/punkforce/punkforce-24x24.png
cinemapunks,    24x24, true, ,     https://github.com/pixelartexchange/collections/raw/master/cinemapunks/cinemapunks-24x24.png
mafiapunks,     24x24, true, ,     https://github.com/pixelartexchange/collections/raw/master/mafiapunks/mafiapunks-24x24.png
youtubepunks,   24x24, true, ,     https://github.com/pixelartexchange/collections/raw/master/youtubepunks/youtubepunks-24x24.png
goodbyepunks,   24x24, true, ,     https://github.com/pixelartexchange/collections/raw/master/goodbyepunks/goodbyepunks-24x24.png
boredapes,      28x28,  ,  ,       https://github.com/cryptopunksnotdead/awesome-24px/raw/master/collection/boredapes.png
apes,           35x35, true, ,     https://github.com/pixelartexchange/collections/raw/master/apes/apes-35x35.png
basicboredapes, 50x50, true, ,    https://github.com/pixelartexchange/collections/raw/master/basicboredapeclub/basicboredapeclub-50x50.png
coolcats,       24x24, ,  ,       https://github.com/cryptopunksnotdead/awesome-24px/raw/master/collection/coolcats.png
luckycats,       32x32, ,  9,      https://github.com/cryptopunksnotdead/punks.sandbox/raw/master/luckycats/i/luckycats-32x32.png
mooncatrescue,   24x24, ,   ,      https://github.com/cryptocopycats/awesome-mooncatrescue-bubble/raw/master/i/mooncatrescue.png
doge,            24x24, ,   ,      https://github.com/cryptopunksnotdead/programming-cryptopunks/raw/master/i/doge.png
dooggies,        32x32, true,  ,   https://github.com/pixelartexchange/collections/raw/master/dooggies-32x32.png
blockydoge,      60x60, true,  ,   https://github.com/pixelartexchange/collections/raw/master/blockydoge/blockydoge-60x60.png
candybears,      24x24,  ,   12,   https://github.com/cryptopunksnotdead/punks.sandbox/raw/master/candybears/i/candybears-24x24.png
bears,           24x24, true,  ,   https://github.com/pixelartexchange/collections/raw/master/bears/bears-24x24.png
moonbears,       34x34, true, 4000,  https://github.com/pixelartexchange/collections/raw/master/moonbears/moonbears-34x34.png
lilmoonbirdies,  24x24, true, 10000, https://github.com/pixelartexchange/collections/raw/master/lilmoonbirdies/lilmoonbirdies-24x24.png
moonbirds,       42x42, true, 10000, https://github.com/pixelartexchange/collections/raw/master/moonbirds/moonbirds-42x42.png
fastfoodbirds-i, 42x42, true,  ,     https://github.com/pixelartexchange/collections/raw/master/fastfoodmoonbirds/fastfoodmoonbirds-42x42.png
fastfoodbirds-ii, 42x42, true, ,     https://github.com/pixelartexchange/collections/raw/master/fastfoodmoonbirds-ii/fastfoodmoonbirds-ii-42x42.png
fastfoodbirds-iii,  42x42, true, ,   https://github.com/pixelartexchange/collections/raw/master/fastfoodmoonbirds-iii/fastfoodmoonbirds-iii-42x42.png
starbirds,        42x42, true, 3000,  https://github.com/pixelartexchange/collections/raw/master/starbirds/starbirds-42x42.png
moonbirdpunks,   50x50, true,  2469,  https://github.com/pixelartexchange/collections/raw/master/moonbirdpunks/moonbirdpunks-50x50.png
8bits,           24x24, true,  8888,  https://github.com/pixelartexchange/collections/raw/master/8bits/8bits-24x24.png
blockheads,      25x25, true,  ,      https://github.com/pixelartexchange/collections/raw/master/blockheads-25x25.png
nouns,           32x32, true,  ,      https://github.com/pixelartexchange/collections/raw/master/nouns-32x32.png
womenpixies,     98x98, true,  ,      https://github.com/pixelartexchange/collections/raw/master/womenpixies/womenpixies-98x98.png
wiener,          32x32, true,  ,      https://github.com/pixelartexchange/collections/raw/master/wiener-32x32.png
gophers,         32x32, , 35,         https://github.com/cryptopunksnotdead/lets-go-programming-cryptopunks/raw/master/gophers.png
rocks,           24x24, , 100,        https://github.com/cryptopunksnotdead/awesome-24px/raw/master/collection/rocks.png
punkrocks,       24x24, ,  10,        https://github.com/cryptopunksnotdead/awesome-24px/raw/master/collection/punkrocks.png
